SAMSUNG G900 Galaxy S5 Shimmery White;20140201;679.00;10295;8.1;145;1920;5.1;432;2.5;4;2;16;1;16;2160;2;2800;72
SONY Xperia Z3 D6603 cierna;20140901;513.99;10512;7.3;152;1920;5.2;424;2.5;4;3;16;1;20.7;2160;2.2;3100;85
HTC One M8;20140301;589.00;10335.84;9.4;160;1920;5.0;441;2.3;4;2;16;1;4;1080;5;2600;71
SAMSUNG i9505 Galaxy S4 cierna;20130301;622.19;9534.68;7.9;130;1920;5.0;441;1.9;4;2;16;1;13;1080;2;2600;69
SONY Xperia Z1 (C6903) cierna;20130901;629.70;10656;8.5;170;1920;5.0;441;2.2;4;2;16;1;20.7;1080;2;3000;53
LG Nexus 5 16GB (D821) biela;20131001;525.02;9542.68;8.6;130;1920;4.95;445;2.3;4;2;16;0;8;1080;1.3;2300;40
HTC One X cierna;20120201;607.00;9394.56;8.9;130;1280;4.7;312;1.5;4;1;32;0;8;1080;1.3;1800;37
LG D605 Optimus L9 II cierna;20130801;252.00;8538.6;9;120;1280;4.7;312;1.4;2;1;8;1;8;1080;1.3;2150;66.48
SAMSUNG G800 Galaxy S5 Mini White;20140601;362.89;8495.28;9.1;120;1280;4.5;326;1.4;4;1.5;16;1;8;1080;2.1;2100;72
SONY Xperia Z3 Compact (D5803);20140901;409.89;8261.77;8.6;129;1280;4.6;319;2.5;4;2;16;1;20.7;2160;2.2;2600;101
HTC One mini strieborna;20130701;354.00;8342.4;9.3;122;1280;4.3;342;1.4;2;1;16;0;4;1080;1.6;1800;40
SAMSUNG i9195 Galaxy S4 mini biela;20130501;473.63;7637.98;8.9;107;960;4.3;256;1.7;2;1.5;8;1;8;1080;1.9;1900;54
SONY Xperia Z1 (5503) Compact;20140101;478.00;8242.3;9.5;137;1280;4.3;342;2.2;4;2;16;1;20.7;1080;2;2300;65
LG G2 Mini D620 cierna;20140201;175.90;8553.6;9.8;121;960;4.7;234;1.2;4;1;8;1;8;1080;1.3;2440;70.52
SAMSUNG Galaxy Note 3 (N9005) cierna;20140901;677.00;11975.04;8.3;168;1920;5.7;386;2.3;4;3;32;1;13;2160;2;3200;75
LG G3 D855 cierna/titan;20140501;599.00;10913.98;8.9;149;2560;5.5;534;2.5;4;2;16;1;13;2160;2.1;3000;69
HUAWEI Ascend Mate 7 cierna;20140901;444.20;12717;7.9;185;1920;6.0;368;1.8;4;2;16;1;13;1080;5;4100;67
HTC Desire 510 Meta Grey;20140801;171.87;9765.02;10;158;854;4.7;208;1.2;4;1;8;1;5;1080;0.3;2100;70
HUAWEI Ascend G6 cierna;20140201;171.29;8450;7.5;115;960;4.5;245;1.2;4;1;4;1;8;720;5;2000;57.94
LENOVO A536 Dual SIM cierna;20140801;126.00;10051.2;10;148;854;5.0;196;1.3;4;1;8;1;5;720;2;2000;53.4
GIGABYTE GSmart Roma R2 Plus biely;20131101;108.00;7875;9.3;120;800;4.0;233;1.3;2;1;8;1;5;720;0.3;1400;53.56
LENOVO A319 cierna;20141001;95.98;7879.3;10.2;130;800;4.0;233;1.3;2;0.5;4;1;5;720;2;1500;57.05
SAMSUNG S6310 GALAXY Young strieborna;20130201;129.36;6410.84;12.5;112;480;3.27;176;1;1;0.75;4;1;3.15;480;0;1300;49.06